 ,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,366,93.7401,27.3812,17.0192,177.3225,0.5234,1.6088,0.6216,0.8142
2,482,126.7696,27.2656,22.5082,0.2673,0.3769,1.2114,0.8255,0.5786
3,132,61.3137,29.1449,5.7666,0.0000,0.4412,5.0541,0.1979,0.8516
4,107,62.0416,15.6276,8.7177,18.1584,0.3493,1.7926,0.5578,0.5431
5,116,61.5563,26.0449,5.6708,0.5197,0.3847,4.5928,0.2177,0.6864
6,141,85.0122,16.4934,10.8848,4.8660,0.2452,1.5153,0.6599,0.6281
7,133,104.2254,26.5870,6.3693,176.3440,0.1539,4.1742,0.2396,0.4683
8,183,129.9239,40.7448,5.7186,2.0910,0.1362,7.1250,0.1404,0.5021
9,112,85.1543,27.4007,5.2043,178.3810,0.1941,5.2650,0.1899,0.5685
10,669759,3428.4853,976.2908,873.4730,1.8170,0.7160,1.1177,0.8947,0.9141
11,108,70.5685,22.2442,6.1818,90.1462,0.2725,3.5983,0.2779,0.6102
12,100,80.9117,20.2678,6.2821,173.5932,0.1919,3.2263,0.3100,0.5195
13,100,80.9117,20.2678,6.2821,173.5932,0.1919,3.2263,0.3100,0.5195
